track_id,track_name,artists,track_genre,popularity,energy,tempo,valence,intensity
4Ds4bq6aqOSAp1T7DikOi4,Ainda Há Tempo,Criolo,afrobeat,44,0.8,81.303,0.483,{1}
0tsjEf663ZNWGlIqY2c0Ms,Tô Pra Ver,Criolo;Rael,afrobeat,41,0.818,90.571,0.599,{1}
3ARDVYRmYJx1FrvR9Zlwp2,Chuva Ácida,Criolo,afrobeat,39,0.782,94.038,0.717,{1}
1SV0orNlJMONEKfQ9QEUrh,Até Me Emocionei,Criolo,afrobeat,38,0.789,84.96,0.549,{1}
3KYbhVPCxYHIeZg8Zy07ay,Vida Loka I - Live,Criolo;Emicida;Mano Brown,afrobeat,44,0.877,82.109,0.662,{1}
0mW4qfi2vus7qErr9jAeFJ,Duas Cidades,BaianaSystem,afrobeat,44,0.899,97.999,0.847,{1}
4dr8LN0s4WhnLLTzfsZkj5,Só Mais Uma Noite - Live,Criolo;Emicida;Evandro Fióti,afrobeat,37,0.918,98.777,0.62,{1}
2e1FJPgVRQZFT53QKUR7BD,A Cada Vento - Live,Criolo;Emicida,afrobeat,41,0.861,98.474,0.8,{1}
4kSYNMfWnruGsc9knR15xV,Dia da Caça,BaianaSystem,afrobeat,38,0.867,109.003,0.358,{1}
0d23nai9JamDpc48xhyeRt,Fio de Pumo (Padê Onã),Criolo,afrobeat,42,0.819,92.996,0.732,{1}
4BKI37hGrod94ofXtVycYL,Calçada,Criolo,afrobeat,37,0.771,111.099,0.76,{1}
7bLMLwx6gJrCXoppD2YqOu,Subirusdoistiozin - Live,Criolo;Emicida,afrobeat,37,0.907,94.346,0.562,{1}
3qdalnFVTJdRheIRZyuNmP,Sonar (Adubado),BaianaSystem;Buguinha Dub;Curumin;Edgar,afrobeat,34,0.82,99.922,0.588,{1}
2MwJYrmAqLPOxd3pSLNdYb,Redoma,BaianaSystem;Samba de Lata de Tijuaçú,afrobeat,34,0.918,100.041,0.391,{1}
0s76fxVvT3GOz0sEU64v4j,Viva (Melô Dos Vileiros) - Live,Criolo;Emicida,afrobeat,32,0.868,82.15,0.733,{1}
5vilhku7KUCbRlog1d0lBy,Fat City Strut,Mandrill,afrobeat,34,0.862,80.526,0.826,{1}
0YLkH00Doh7W1IEEo9BA71,La Bala,Juanafé,afrobeat,34,0.826,98.046,0.77,{1}
5K0z3idLxEFY0tv82NeMPe,Mariô - Live,Criolo,afrobeat,33,0.874,94.006,0.681,{1}
3U8py45D86LbBF6jZtaxMH,Soul Makossa,Manu Dibango,afrobeat,0,0.794,116.423,0.921,{1}
19Oj8jiVAn3qRr0DhlLU1j,Triunfo - Live,Criolo;Emicida,afrobeat,34,0.945,92.013,0.551,{1}
33NVGT7agcN1ems0OLUlCX,Dikalo - Remix 97,Manu Dibango,afrobeat,0,0.869,99.175,0.672,{1}
1q8NdCAQ9QUjpYiqzdd3mv,Atrévete-Te-Te,Calle 13,afrobeat,75,0.878,87.991,0.883,{1}
7CJkTdcKr5NSlgSBAKTTD5,Água (Versão Estendida),BaianaSystem;Orquestra Afrosinfônica;Antonio Carlos & Jocafi,afrobeat,34,0.8,96.998,0.763,{1}
25WjhzidELBiE8WBROJIRs,Tô pra Onda,Afrocidade,afrobeat,29,0.846,118.025,0.505,{1}
63TbBqehgYbVYaj7vt7OAf,Tá Amarrado,OQuadro;Dimak,afrobeat,30,0.834,94.967,0.941,{1}
6sJRYw9CnzDyZ3mBOAVtNN,Dulce,Los Amigos Invisibles,afrobeat,33,0.819,117.971,0.827,{1}
52DcY4RSDQzvEEdLp1q02h,Ride On Baby - 1977 Version,William Onyeabor,afrobeat,31,0.804,104.883,0.841,{1}
6awMoxUFFPfHusyCQAhxDA,Te Lo Juro Por Madonna (Si Omba Ta Gueno),Plastilina Mosh,afrobeat,32,0.968,98.113,0.673,{1}
438mvglmmUAmK8OARQqFvd,Dança de Airumã,BaianaSystem,afrobeat,31,0.862,108.001,0.609,{1}
49NyAaqgD1KExP3L9IgqT8,Niño Bomba,Plastilina Mosh,afrobeat,35,0.775,107.153,0.491,{1}
3WlPw1UubxqvzMhO739BU8,Bambezela,Hugh Masekela;Gugu Shezi,afrobeat,0,0.815,111.992,0.787,{1}
2jR9xbXmW7L5W2qMLQprBy,Chapéu Panamá,BaianaSystem,afrobeat,31,0.932,105.01,0.471,{1}
6i1eq94lroJKzDqz3ocjbC,Disco Ball,Los Amigos Invisibles,afrobeat,31,0.818,105.0,0.78,{1}
3aYnx0DinQBKrjS5OjSDEq,Go Back,Tony Allen;Damon Albarn,afrobeat,29,0.911,82.34,0.724,{1}
1CppY4y3oYEv6NIC4w9irf,Acosadora - Radio Edit,La Misa Negra,afrobeat,28,0.892,99.998,0.648,{1}
0HaeGQdShN9VUjakBQfrp6,Enzo,Plastilina Mosh,afrobeat,31,0.864,90.037,0.851,{1}
63nOQpjvgznL7lF5tEwsCs,Caminante,Newen Afrobeat,afrobeat,27,0.904,92.962,0.557,{1}
49ieDVc3fyaSV6QUiusAWG,Língua Felina – Deluxe Edition,Criolo,afrobeat,26,0.797,96.879,0.964,{1}
793VAZ2ErvDgTgJmvlwRVW,La Mara Tomaza,El Hijo De La Cumbia,afrobeat,26,0.929,92.603,0.655,{1}
7nTDFaGqZtkA0KDEays8vu,Oxe,BaianaSystem;Bule Bule;Rapadura,afrobeat,30,0.912,107.999,0.568,{1}
6CdWVVb0fEm68YrJFHSOI2,Espérame (Extended Mix),Los Amigos Invisibles,afrobeat,31,0.775,119.982,0.962,{1}
6QkjoJ4fgWczKVLkN3zsGR,Tema Di Malaika,Bixiga 70,afrobeat,27,0.886,107.983,0.884,{1}
1JF1nELbG0d3bxg7EPLGNQ,Cachete a Cachete,Los Amigos Invisibles,afrobeat,30,0.755,118.168,0.597,{1}
38hOrmc7D0YqWZ2QYdxgK2,Desire,Limoblaze;Emandiong,afrobeat,49,0.858,115.113,0.432,{1}
2KCyx1wmIdWUwJPM7LItHS,Belongs to You - EDM Remix,Sarah Téibo;Sigag Lauren;Paola Carla,afrobeat,26,0.828,104.974,0.31,{1}
2Fc99kfkQ1S2RilXcd6xIU,Quieren Efectos,Money Chicha,afrobeat,24,0.773,96.617,0.597,{1}
7bm92XIVukRUY8O3xEhWfX,Show & Prove,Breakestra,afrobeat,26,0.874,107.346,0.836,{1}
4PYtKS83Cg2UZa6rKrePyT,Dame el Mambo,Los Amigos Invisibles,afrobeat,28,0.868,119.988,0.802,{1}
4uvbpWSO8tnJFWwDCimjmU,Give us your money (feat. Superthriller),Los Amigos Invisibles;Superthriller,afrobeat,27,0.793,112.003,0.771,{1}
4KoSQS6Bs9ZjgkdvR7UFJM,No Es Fácil Amar,Los Amigos Invisibles,afrobeat,29,0.825,117.893,0.79,{1}
3n4xOoTgs35OjmOnCDj1VX,Magus Mountain,The Budos Band,afrobeat,27,0.803,105.904,0.253,{1}
4UI3qMUacIIev18bDTyRRR,Capucha,BaianaSystem;Claudia Manzo,afrobeat,28,0.938,104.981,0.561,{1}
39xIDaeOVTKlUpSAwaG5Jr,Monster Truck,Plastilina Mosh,afrobeat,28,0.932,96.899,0.492,{1}
7EytAw7jpuHSPDoro79Rc0,Take My Time,Breakestra;Choklate,afrobeat,25,0.884,104.962,0.883,{1}
6nOG7P1UzG9vqhBtB9Bdab,The Red Hill,The Bongo Hop;Dafuniks,afrobeat,24,0.788,99.91,0.871,{1}
2oWex6rYoQ7Bl2D9zG8d3F,Water No Get Enemy,Fela Kuti,afrobeat,48,0.926,90.934,0.883,{1}
4THV8iU0E5bW9uPLjDVWSC,Llegaste Tarde,Los Amigos Invisibles,afrobeat,26,0.82,102.572,0.854,{1}
7JxdbxzHJZLP9kBtUNuwKt,Direto de Camaçacity,Afrocidade,afrobeat,25,0.779,105.003,0.464,{1}
1Y7JDqUVbaHRPsLJtSY8ie,Arroz Con Frijoles,Grupo Fantasma,afrobeat,24,0.931,105.214,0.801,{1}
7F9iD9cZBEQMZgeD9EuO4Z,El Volcán,Juanafé,afrobeat,25,0.897,96.891,0.839,{1}
3lUTTvpsqOJGm28TZYgIGn,Pa' Congo,The Bongo Hop;Maikcel,afrobeat,24,0.951,110.076,0.762,{1}
48DWFHPOnkzvgyywwED5ZO,Es la Verdad,Los Amigos Invisibles,afrobeat,26,0.952,108.004,0.714,{1}
08kI60xFWphU3ZYkHX00io,Meet You In The Sunshine,The New Mastersounds;Eddie Roberts;Lamar Williams Jr.,afrobeat,26,0.833,95.838,0.732,{1}
1EcDq6wqhhQSdEfVK4mTjH,Banano´s Bar,Plastilina Mosh,afrobeat,27,0.842,116.151,0.39,{1}
3JhHQXwYAoG2ks4F6FQ6FB,Anestesiada (feat. Kinky),Los Amigos Invisibles;Kinky,afrobeat,26,0.951,116.001,0.932,{1}
1z8eYOOd1fjxbubkDd8Z9a,Memoria del cuero,Jorge Drexler,afrobeat,25,0.869,117.999,0.813,{1}
1Wb09hTo6O41UzdOq7Pd2i,Hard Up,The Bamboos,afrobeat,12,0.922,104.015,0.761,{1}
5G2pbqhXrpVbGOYoWaz04J,Maasai - Doctor Flake Remix,Kutiman;Doctor Flake,afrobeat,43,0.874,101.994,0.339,{1}
1ETZhP9orTkDclKEyt0xqm,Fantastic Man,William Onyeabor,afrobeat,45,0.756,114.28,0.944,{1}
1tSSc111CwyzxWmmIxyXRS,Lead the Way,Sarah Téibo,afrobeat,22,0.807,98.969,0.488,{1}
0EKNvyq6JQXvaslzqnjZQf,Like a Child - Remix,Sarah Téibo;Fred Hammond,afrobeat,23,0.811,100.065,0.417,{1}
1r7ACDef4LjHS46dkS4Ufb,Guayabo,QUITAPENAS,afrobeat,21,0.827,117.74,0.911,{1}
5aqzJkElPJ4mN16RGnn4bK,Ham Gallery,The Poets Of Rhythm,afrobeat,23,0.848,109.49,0.641,{1}
49FKW4e2yUqbKkzncXjjIH,Mundo Sem Memória,Abayomy Afrobeat Orquestra;Otto,afrobeat,20,0.878,102.012,0.751,{1}
1uzzzHuooaIxnburo0DAk7,El Lobo,Wganda Kenya,afrobeat,23,0.862,110.192,0.844,{1}
5tCA3clelWA6MYU1bucRVS,Afobado Peito Altivo,Samuca e a Selva,afrobeat,22,0.754,100.955,0.883,{1}
03UnPfDS0FvZzi0Z3I7yue,Okay,Limoblaze;Ada Ehi,afrobeat,40,0.751,105.003,0.834,{1}
4KRAPYoTgdQ6eJCU78F589,Valle Moreno,QUITAPENAS,afrobeat,21,0.847,119.205,0.852,{1}
1LmZaecYKj4THjxxA9Gs22,Lua Branca,Afrocidade;Luedji Luna,afrobeat,21,0.858,110.993,0.69,{1}
5pKUJLGKZjoPiYJnQYRH9a,Turn and Burn,The Budos Band,afrobeat,22,0.833,116.012,0.652,{1}
6VDz8W9nlUYVp2340N4jl6,Até de Manhã,Afrocidade,afrobeat,21,0.83,100.015,0.364,{1}
39GG1KFPegqcjknOasUrg3,Danny Trejo,Plastilina Mosh,afrobeat,25,0.968,93.984,0.756,{1}
2RhJqgcxU7hy1KZ8xLGuky,Deep in the Sand,The Budos Band,afrobeat,22,0.864,119.095,0.486,{1}
337tTnKLdmVdLYjMcllLqR,Avi-Vo - Remastered,Lafayette Afro Rock Band,afrobeat,21,0.868,118.125,0.693,{1}
3dvYujyJXn2fuNalpg6r0E,Sorry Sorry - Old School Afro Dub,Femi Kuti,afrobeat,21,0.871,101.199,0.618,{1}
3RKzHk3thT1H4q85GmWDaG,Contra el Sol,Ocote Soul Sounds,afrobeat,20,0.854,107.855,0.961,{1}
6zcKml6Wm7YlcgxZnrMx5y,Le mariage forcé,Star Feminine Band,afrobeat,21,0.752,118.591,0.776,{1}
5FtemPS1ZEhULQnIN8gmVT,Agoya,The Souljazz Orchestra,afrobeat,20,0.88,115.967,0.783,{1}
40dOkG5POxk2F6e5dhqY1h,Shattered Winds,The Budos Band,afrobeat,22,0.826,105.475,0.685,{1}
6dQViwVNXyvpMaZjtLQYVu,Is yeelyel,The Souljazz Orchestra,afrobeat,20,0.805,116.002,0.914,{1}
40KeMi4kkYpAlT1VmjrxDb,Get It Right,Breakestra,afrobeat,21,0.962,108.602,0.872,{1}
